ano,inscricao_enem,nota_ch,nota_cn,nota_l,nota_m,nota_r,sigla_uf_campus
2022,211XXXXXX184,509.1,444.2,483.8,425.4,320.0,DF
2022,211XXXXXX280,405.5,399.4,488.2,372.5,340.0,DF
2022,211XXXXXX280,405.5,399.4,488.2,372.5,340.0,DF
2022,211XXXXXX280,405.5,399.4,488.2,372.5,340.0,DF
2022,211XXXXXX143,628.4,644.0,619.2,770.4,980.0,DF
2022,211XXXXXX368,544.8,422.1,420.1,525.6,320.0,DF
2022,211XXXXXX584,458.4,404.5,323.0,407.7,320.0,DF
2022,211XXXXXX584,458.4,404.5,323.0,407.7,320.0,DF
2022,211XXXXXX750,483.2,392.8,369.0,501.1,340.0,DF
2022,211XXXXXX921,646.5,678.7,628.3,677.4,980.0,DF
2022,211XXXXXX151,448.5,434.1,307.6,373.9,240.0,DF
2022,211XXXXXX175,381.2,353.6,379.0,418.3,240.0,DF
2022,211XXXXXX165,396.5,359.5,468.9,411.9,260.0,DF
2022,211XXXXXX165,396.5,359.5,468.9,411.9,260.0,DF
2022,211XXXXXX165,396.5,359.5,468.9,411.9,260.0,DF
2022,211XXXXXX175,381.2,353.6,379.0,418.3,240.0,DF
2022,211XXXXXX151,448.5,434.1,307.6,373.9,240.0,DF
2022,211XXXXXX175,381.2,353.6,379.0,418.3,240.0,DF
2022,211XXXXXX151,448.5,434.1,307.6,373.9,240.0,DF
2022,211XXXXXX309,634.5,614.5,638.2,655.4,980.0,DF
2022,211XXXXXX241,617.3,500.5,597.7,500.7,980.0,DF
2022,211XXXXXX406,588.4,658.2,546.3,648.8,980.0,DF
2022,211XXXXXX184,735.3,664.6,647.5,800.9,980.0,DF
2022,211XXXXXX872,712.8,731.7,723.6,864.2,980.0,DF
2022,211XXXXXX960,396.5,475.4,394.2,429.6,340.0,DF
2022,211XXXXXX188,537.5,466.7,479.1,585.5,340.0,DF
2022,211XXXXXX230,485.7,439.3,466.3,426.3,300.0,DF
2022,211XXXXXX230,485.7,439.3,466.3,426.3,300.0,DF
2022,211XXXXXX938,384.2,400.9,366.8,502.4,300.0,DF
2022,211XXXXXX938,384.2,400.9,366.8,502.4,300.0,DF
2022,211XXXXXX938,384.2,400.9,366.8,502.4,300.0,DF
2022,211XXXXXX799,505.0,426.4,490.9,417.3,320.0,DF
2022,211XXXXXX590,423.2,428.3,376.4,407.3,320.0,DF
2022,211XXXXXX151,448.5,434.1,307.6,373.9,240.0,DF
2022,211XXXXXX960,478.9,427.1,384.1,442.8,300.0,DF
2022,211XXXXXX960,478.9,427.1,384.1,442.8,300.0,DF
2022,211XXXXXX590,423.2,428.3,376.4,407.3,320.0,DF
2022,211XXXXXX590,423.2,428.3,376.4,407.3,320.0,DF
2022,211XXXXXX289,538.8,456.1,454.2,410.0,340.0,DF
2022,211XXXXXX289,538.8,456.1,454.2,410.0,340.0,DF
2022,211XXXXXX003,419.1,442.5,369.9,435.7,340.0,DF
2022,211XXXXXX003,419.1,442.5,369.9,435.7,340.0,DF
2022,215XXXXXX002,550.6,451.5,468.8,461.7,320.0,DF
2022,211XXXXXX104,447.7,346.3,477.2,447.8,320.0,DF
2022,211XXXXXX104,447.7,346.3,477.2,447.8,320.0,DF
2022,211XXXXXX621,476.3,460.3,373.6,394.6,340.0,DF
2022,211XXXXXX902,486.5,421.8,500.0,434.6,340.0,DF
2022,215XXXXXX002,550.6,451.5,468.8,461.7,320.0,DF
2022,211XXXXXX902,486.5,421.8,500.0,434.6,340.0,DF
2022,211XXXXXX104,447.7,346.3,477.2,447.8,320.0,DF
2022,211XXXXXX085,550.5,471.7,466.8,408.9,340.0,DF
2022,211XXXXXX651,451.7,360.1,416.5,448.4,340.0,DF
2022,211XXXXXX651,451.7,360.1,416.5,448.4,340.0,DF
2022,211XXXXXX167,442.9,369.4,492.1,412.7,320.0,DF
2022,211XXXXXX902,486.5,421.8,500.0,434.6,340.0,DF
2022,211XXXXXX694,538.7,506.2,523.9,481.0,340.0,DF
2022,211XXXXXX323,546.1,383.8,548.1,409.7,240.0,DF
2022,211XXXXXX323,546.1,383.8,548.1,409.7,240.0,DF
2022,211XXXXXX475,369.6,380.9,430.3,415.3,340.0,DF
2022,211XXXXXX475,369.6,380.9,430.3,415.3,340.0,DF
2022,211XXXXXX265,472.5,483.7,384.2,516.4,280.0,DF
2022,211XXXXXX354,417.3,343.0,365.8,484.0,280.0,DF
2022,211XXXXXX354,417.3,343.0,365.8,484.0,280.0,DF
2022,215XXXXXX845,424.6,382.0,469.9,445.9,300.0,DF
2022,211XXXXXX550,368.0,416.0,372.4,409.6,300.0,DF
2022,215XXXXXX915,401.4,489.1,496.6,456.1,300.0,DF
2022,215XXXXXX915,401.4,489.1,496.6,456.1,300.0,DF
2022,211XXXXXX550,368.0,416.0,372.4,409.6,300.0,DF
2022,211XXXXXX752,394.9,382.1,365.4,415.7,280.0,DF
2022,215XXXXXX915,401.4,489.1,496.6,456.1,300.0,DF
2022,211XXXXXX752,394.9,382.1,365.4,415.7,280.0,DF
2022,211XXXXXX752,394.9,382.1,365.4,415.7,280.0,DF
2022,211XXXXXX432,354.5,472.6,476.7,546.0,340.0,DF
2022,211XXXXXX834,397.1,505.2,371.1,396.4,340.0,DF
2022,211XXXXXX307,364.3,374.2,366.6,406.6,220.0,DF
2022,211XXXXXX265,472.5,483.7,384.2,516.4,280.0,DF
2022,211XXXXXX054,400.7,453.1,465.9,551.9,320.0,DF
2022,211XXXXXX760,429.0,361.0,401.6,399.2,340.0,DF
2022,211XXXXXX834,397.1,505.2,371.1,396.4,340.0,DF
2022,211XXXXXX354,417.3,343.0,365.8,484.0,280.0,DF
2022,211XXXXXX936,438.6,423.8,370.4,490.4,260.0,DF
2022,211XXXXXX054,400.7,453.1,465.9,551.9,320.0,DF
2022,211XXXXXX550,368.0,416.0,372.4,409.6,300.0,DF
2022,211XXXXXX475,369.6,380.9,430.3,415.3,340.0,DF
2022,211XXXXXX104,447.7,346.3,477.2,447.8,320.0,DF
2022,211XXXXXX104,447.7,346.3,477.2,447.8,320.0,DF
2022,211XXXXXX118,455.3,493.5,467.0,536.6,320.0,DF
2022,211XXXXXX422,419.6,382.9,416.3,401.1,280.0,DF
2022,211XXXXXX265,438.5,370.0,523.8,489.8,340.0,DF
2022,211XXXXXX968,606.3,547.1,551.1,551.5,340.0,DF
2022,202XXXXXX529,604.4,599.3,600.9,552.9,320.0,DF
2022,211XXXXXX501,460.3,623.6,546.9,612.7,980.0,DF
2022,211XXXXXX501,460.3,623.6,546.9,612.7,980.0,DF
2022,211XXXXXX146,724.5,653.2,661.8,776.3,980.0,DF
2022,211XXXXXX053,601.5,526.7,556.3,619.1,320.0,DF
2022,215XXXXXX241,348.3,465.3,337.2,410.7,340.0,DF
2022,211XXXXXX289,370.8,413.2,418.1,565.7,340.0,DF
2022,211XXXXXX800,522.2,625.4,647.2,720.4,980.0,DF
2022,211XXXXXX488,676.9,733.8,607.5,810.6,980.0,DF
2022,211XXXXXX754,747.1,814.3,689.6,884.9,980.0,DF
2022,211XXXXXX914,659.4,623.5,625.1,751.4,980.0,DF
2022,211XXXXXX238,771.8,709.0,691.3,898.4,980.0,DF
2022,211XXXXXX771,682.5,640.1,646.2,778.1,980.0,DF
2022,211XXXXXX310,611.6,657.5,542.3,655.8,980.0,DF
2022,211XXXXXX200,787.7,726.4,671.7,862.4,980.0,DF
2022,211XXXXXX117,550.4,552.0,543.5,709.3,980.0,DF
2022,211XXXXXX914,659.4,623.5,625.1,751.4,980.0,DF
2022,211XXXXXX850,701.8,643.0,663.9,768.9,980.0,DF
2022,211XXXXXX200,787.7,726.4,671.7,862.4,980.0,DF
2022,211XXXXXX014,720.5,735.4,661.3,846.2,980.0,DF
2022,211XXXXXX019,775.5,763.8,656.9,865.0,980.0,DF
2022,211XXXXXX771,682.5,640.1,646.2,778.1,980.0,DF
2022,211XXXXXX120,789.0,755.2,683.7,928.5,980.0,DF
2022,211XXXXXX731,725.8,760.7,712.3,865.3,980.0,DF
2022,211XXXXXX650,712.5,710.3,623.5,884.7,980.0,DF
2022,211XXXXXX588,700.1,673.3,671.3,705.1,980.0,DF
2022,211XXXXXX400,667.1,595.9,617.7,664.5,980.0,DF
2022,211XXXXXX580,733.8,733.8,723.4,831.4,980.0,DF
2022,211XXXXXX412,608.0,636.3,641.1,755.3,980.0,DF
2022,211XXXXXX117,550.4,552.0,543.5,709.3,980.0,DF
2022,211XXXXXX587,731.5,680.7,612.8,767.5,980.0,DF
2022,211XXXXXX345,765.3,673.8,685.6,790.6,980.0,DF
2022,211XXXXXX432,584.6,526.5,609.6,493.4,980.0,DF
2022,211XXXXXX587,731.5,680.7,612.8,767.5,980.0,DF
2022,211XXXXXX808,744.0,747.9,710.2,839.7,980.0,DF
2022,211XXXXXX582,714.6,632.1,648.8,763.8,980.0,DF
2022,211XXXXXX650,712.5,710.3,623.5,884.7,980.0,DF
2022,211XXXXXX169,693.8,753.5,709.8,928.8,980.0,DF
2022,211XXXXXX661,714.3,677.2,609.7,787.0,980.0,DF
2022,211XXXXXX412,608.0,636.3,641.1,755.3,980.0,DF
2022,211XXXXXX098,616.3,613.1,520.8,722.0,980.0,DF
2022,211XXXXXX412,608.0,636.3,641.1,755.3,980.0,DF
2022,211XXXXXX984,553.1,511.3,561.6,610.8,980.0,DF
2022,211XXXXXX098,616.3,613.1,520.8,722.0,980.0,DF
2022,211XXXXXX984,553.1,511.3,561.6,610.8,980.0,DF
2022,211XXXXXX244,649.6,611.8,597.3,706.4,980.0,DF
2022,211XXXXXX073,424.2,386.9,409.3,458.6,300.0,DF
2022,211XXXXXX827,644.5,536.0,598.1,606.4,340.0,DF
2022,211XXXXXX016,544.8,524.6,417.1,529.9,340.0,DF
2022,211XXXXXX016,544.8,524.6,417.1,529.9,340.0,DF
2022,211XXXXXX504,640.9,529.9,601.2,627.4,340.0,DF
2022,211XXXXXX746,409.9,386.7,489.1,517.3,340.0,DF
2022,211XXXXXX788,415.1,409.2,369.6,396.6,260.0,DF
2022,202XXXXXX016,568.3,471.4,457.7,387.1,320.0,DF
2022,211XXXXXX746,409.9,386.7,489.1,517.3,340.0,DF
2022,211XXXXXX930,471.0,494.6,471.7,444.9,340.0,DF
2022,211XXXXXX799,507.6,471.6,489.8,412.5,340.0,DF
2022,211XXXXXX472,503.9,462.5,530.3,417.3,320.0,DF
2022,211XXXXXX930,471.0,494.6,471.7,444.9,340.0,DF
2022,211XXXXXX799,507.6,471.6,489.8,412.5,340.0,DF
2022,211XXXXXX746,409.9,386.7,489.1,517.3,340.0,DF
2022,215XXXXXX696,543.7,516.3,506.4,320.9,280.0,DF
2022,211XXXXXX257,604.6,497.1,541.4,626.0,320.0,DF
2022,211XXXXXX257,604.6,497.1,541.4,626.0,320.0,DF
2022,215XXXXXX681,386.3,558.5,519.1,599.1,300.0,DF
2022,215XXXXXX681,386.3,558.5,519.1,599.1,300.0,DF
2022,211XXXXXX158,567.7,461.5,497.5,386.9,340.0,DF
2022,211XXXXXX930,471.0,494.6,471.7,444.9,340.0,DF
2022,211XXXXXX865,549.8,555.1,527.4,478.3,340.0,DF
2022,211XXXXXX289,370.8,413.2,418.1,565.7,340.0,DF
2022,211XXXXXX289,370.8,413.2,418.1,565.7,340.0,DF
2022,211XXXXXX410,442.9,476.5,352.7,406.1,260.0,DF
2022,211XXXXXX410,442.9,476.5,352.7,406.1,260.0,DF
2022,211XXXXXX504,640.9,529.9,601.2,627.4,340.0,DF
2022,211XXXXXX363,487.6,430.0,394.1,455.4,300.0,DF
2022,215XXXXXX505,343.7,436.4,367.2,390.9,260.0,DF
2022,211XXXXXX788,415.1,409.2,369.6,396.6,260.0,DF
2022,215XXXXXX505,343.7,436.4,367.2,390.9,260.0,DF
2022,211XXXXXX410,442.9,476.5,352.7,406.1,260.0,DF
2022,202XXXXXX016,568.3,471.4,457.7,387.1,320.0,DF
2022,202XXXXXX016,568.3,471.4,457.7,387.1,320.0,DF
2022,211XXXXXX865,549.8,555.1,527.4,478.3,340.0,DF
2022,211XXXXXX044,659.9,518.7,606.1,633.6,340.0,DF
2022,211XXXXXX073,424.2,386.9,409.3,458.6,300.0,DF
2022,211XXXXXX799,507.6,471.6,489.8,412.5,340.0,DF
2022,211XXXXXX799,507.6,471.6,489.8,412.5,340.0,DF
2022,211XXXXXX073,424.2,386.9,409.3,458.6,300.0,DF
2022,211XXXXXX799,507.6,471.6,489.8,412.5,340.0,DF
2022,211XXXXXX472,503.9,462.5,530.3,417.3,320.0,DF
2022,211XXXXXX016,544.8,524.6,417.1,529.9,340.0,DF
2022,211XXXXXX528,460.3,425.0,417.4,485.6,260.0,DF
2022,211XXXXXX528,460.3,425.0,417.4,485.6,260.0,DF
2022,211XXXXXX803,701.5,567.5,631.1,461.4,320.0,DF
2022,215XXXXXX032,552.5,501.0,608.2,459.1,320.0,DF
2022,215XXXXXX032,552.5,501.0,608.2,459.1,320.0,DF
2022,211XXXXXX412,451.1,585.1,496.2,509.0,320.0,DF
2022,211XXXXXX803,701.5,567.5,631.1,461.4,320.0,DF
2022,211XXXXXX915,675.9,687.5,576.6,809.9,980.0,DF
2022,211XXXXXX277,573.0,566.6,535.9,484.5,340.0,DF
2022,211XXXXXX412,451.1,585.1,496.2,509.0,320.0,DF
2022,211XXXXXX281,437.9,464.4,474.9,613.6,320.0,DF
2022,211XXXXXX281,437.9,464.4,474.9,613.6,320.0,DF
2022,211XXXXXX277,573.0,566.6,535.9,484.5,340.0,DF
2022,215XXXXXX681,386.3,558.5,519.1,599.1,300.0,DF
2022,211XXXXXX412,451.1,585.1,496.2,509.0,320.0,DF
2022,215XXXXXX032,552.5,501.0,608.2,459.1,320.0,DF
2022,211XXXXXX813,487.9,521.6,517.6,452.2,260.0,DF
2022,211XXXXXX813,487.9,521.6,517.6,452.2,260.0,DF
2022,211XXXXXX743,596.0,538.2,503.1,523.8,340.0,DF
2022,211XXXXXX885,533.9,481.8,477.4,531.6,320.0,DF
2022,211XXXXXX847,480.1,468.0,486.6,365.3,340.0,DF
2022,211XXXXXX060,588.0,512.0,546.7,565.2,320.0,DF
2022,211XXXXXX847,480.1,468.0,486.6,365.3,340.0,DF
2022,211XXXXXX060,588.0,512.0,546.7,565.2,320.0,DF
2022,211XXXXXX885,533.9,481.8,477.4,531.6,320.0,DF
2022,211XXXXXX772,546.4,400.5,463.3,459.8,280.0,DF
2022,211XXXXXX187,533.2,438.2,477.9,474.5,340.0,DF
2022,211XXXXXX405,409.2,521.9,559.3,438.9,280.0,DF
2022,211XXXXXX300,465.7,397.2,444.5,437.7,320.0,DF
2022,211XXXXXX405,409.2,521.9,559.3,438.9,280.0,DF
2022,211XXXXXX498,372.6,383.3,469.8,473.9,320.0,DF
2022,211XXXXXX300,465.7,397.2,444.5,437.7,320.0,DF
2022,211XXXXXX394,459.3,467.2,520.6,527.9,300.0,DF
2022,211XXXXXX323,577.8,527.4,548.3,587.2,340.0,DF
2022,211XXXXXX759,363.4,442.9,494.1,420.1,340.0,DF
2022,211XXXXXX793,478.2,391.9,387.4,416.1,340.0,DF
2022,211XXXXXX978,414.1,406.5,450.0,442.9,340.0,DF
2022,211XXXXXX401,548.1,480.8,521.1,543.8,340.0,DF
